subcorridor,direction,stopOrderCor,stopId,stopName,depTime,tripCount,m_dwellTime,m_travelTime,m_runTime,m_excessTravel,sd_dwellTime,sd_travelTime,sd_runTime,sd_excessTravel,p10_travelTime,p90_travelTime,p95_travelTime,p10_runTime,p90_runTime,p95_runTime,buf_indx_runTime,buf_time_runTime
Fairmount to Spring Garden,direction-0,1,2751,Fairmount Av,2021-01-01T15:00:00Z,6,50.301,23.516,73.81700000000001,5.998200000000002,13.056978593840151,2.989083806118524,14.607721245971256,2.989083806118524,21.52,26.367,27.89,62.099000000000004,92.2115,92.69625,0.2557574813389869,92.69625s (~1.54 minutes)
Fairmount to Spring Garden,direction-0,1,2751,Fairmount Av,2021-01-01T15:10:00Z,12,39.13675,22.997,62.13375,5.479200000000002,18.959996006544458,1.4985345568860993,19.2746801748021,1.4985345568860993,21.848399999999998,23.4736,25.263349999999996,30.565700000000003,81.37599999999999,81.9038,0.3181853662462028,81.9038s (~1.37 minutes)
Fairmount to Spring Garden,direction-0,1,2751,Fairmount Av,2021-01-01T15:20:00Z,9,42.934,21.789666666666665,64.72366666666666,4.271866666666669,17.101185967645634,1.274913232341715,16.547080565767484,1.274913232341715,20.3804,22.778799999999997,23.5364,44.407399999999996,82.61099999999999,82.631,0.27667365363519797,82.631s (~1.38 minutes)
Fairmount to Spring Garden,direction-0,1,2751,Fairmount Av,2021-01-01T15:30:00Z,11,29.791090909090908,26.606272727272728,56.397363636363636,9.088472727272729,14.019418521854217,8.267184177105396,15.397536993121511,8.267184177105396,21.503,42.721,43.215999999999994,44.843,67.973,77.58349999999999,0.3756582754513023,77.5835s (~1.29 minutes)
Fairmount to Spring Garden,direction-0,1,2751,Fairmount Av,2021-01-01T15:40:00Z,10,41.0584,22.8686,63.927,5.350800000000002,15.161706846159797,3.865959739975457,16.213307284792666,3.865959739975457,20.3784,24.622399999999995,29.01619999999999,43.935599999999994,83.43299999999998,88.12649999999998,0.3785489699188133,88.1265s (~1.47 minutes)
Fairmount to Spring Garden,direction-0,1,2751,Fairmount Av,2021-01-01T15:50:00Z,10,37.6844,21.0268,58.7112,3.509000000000003,16.324298400441798,1.4140812329330068,16.81547902512576,1.4140812329330068,20.3124,21.8816,23.324299999999997,40.2114,78.8199,81.89294999999998,0.3948437436128028,81.89295s (~1.36 minutes)
Fairmount to Spring Garden,direction-0,1,2751,Fairmount Av,2021-01-01T16:00:00Z,12,38.351166666666664,23.1955,61.54666666666667,5.677700000000002,18.562886099239346,1.7912125146747024,18.406818550513155,1.7912125146747024,20.916999999999998,25.1961,25.2695,31.134099999999997,73.2288,79.49034999999999,0.29154598136915066,79.49035s (~1.32 minutes)
Fairmount to Spring Garden,direction-0,1,2751,Fairmount Av,2021-01-01T16:10:00Z,11,40.078545454545456,25.483636363636364,65.56218181818181,7.965836363636366,18.004721732721315,6.428824655762939,20.177791394591143,6.428824655762939,21.131,33.277,37.332,39.97,90.881,91.187,0.3908475506944137,91.187s (~1.52 minutes)
Fairmount to Spring Garden,direction-0,1,2751,Fairmount Av,2021-01-01T16:20:00Z,13,25.609846153846153,23.851076923076924,49.46092307692308,6.333276923076926,18.082419412448445,7.740945253020229,19.223581518808,7.740945253020229,19.0376,29.315600000000003,37.211599999999976,30.1266,76.6606,79.3466,0.6042280463831585,79.3466s (~1.32 minutes)
Fairmount to Spring Garden,direction-0,1,2751,Fairmount Av,2021-01-01T16:30:00Z,13,29.954692307692305,25.683923076923076,55.638615384615385,8.16612307692308,18.97720710213797,7.147242947010389,20.740321491957243,7.147242947010389,22.0372,27.7708,36.58039999999997,27.1786,76.5114,80.75179999999997,0.4513625014171116,80.7518s (~1.35 minutes)
Fairmount to Spring Garden,direction-0,1,2751,Fairmount Av,2021-01-01T16:40:00Z,11,33.403636363636366,22.12727272727273,55.53090909090909,4.609472727272729,20.13019306550599,1.1861569112819002,19.653393429403206,1.1861569112819002,20.718,23.585,23.695999999999998,29.854,76.661,77.269,0.3914593019448629,77.269s (~1.29 minutes)
Fairmount to Spring Garden,direction-0,1,2751,Fairmount Av,2021-01-01T16:50:00Z,13,41.32569230769231,22.777538461538462,64.10323076923076,5.259738461538464,15.709994114069636,3.7720376150339177,17.44322446373685,3.7720376150339177,20.271,24.4204,28.461999999999986,39.5206,79.0172,81.0102,0.26374597704183883,81.0102s (~1.35 minutes)
Fairmount to Spring Garden,direction-0,1,2751,Fairmount Av,2021-01-01T17:00:00Z,9,34.944,26.783,61.727,9.265200000000002,17.321559701712776,10.95254171414106,23.869108922412664,10.952541714141057,20.648400000000002,34.76239999999998,44.92919999999999,39.42580000000001,88.19019999999998,94.38259999999998,0.5290326761384805,94.3826s (~1.57 minutes)
Fairmount to Spring Garden,direction-0,1,2751,Fairmount Av,2021-01-01T17:10:00Z,11,30.003636363636364,27.414727272727273,57.41836363636364,9.896927272727275,30.299292913441814,7.6657316166287615,31.674210835544827,7.665731616628763,24.101,29.614,39.7845,28.637,82.888,104.9685,0.828134648085345,104.9685s (~1.75 minutes)
Fairmount to Spring Garden,direction-0,1,2751,Fairmount Av,2021-01-01T17:20:00Z,12,46.462,40.916583333333335,87.37858333333334,23.398783333333334,9.39906948005541,24.97987349286815,32.33712180214822,24.97987349286815,22.4336,77.9644,81.78164999999998,57.5407,138.6122,142.28289999999998,0.6283498149336744,142.2829s (~2.37 minutes)
Fairmount to Spring Garden,direction-0,1,2751,Fairmount Av,2021-01-01T17:30:00Z,10,36.096000000000004,37.183,73.279,19.665200000000002,12.338364730474709,23.673977814375757,31.26650251911425,23.67397781437576,23.479,72.76029999999999,81.65814999999998,46.1733,119.85929999999999,130.56165,0.7817062186983992,130.56165s (~2.18 minutes)
Fairmount to Spring Garden,direction-0,1,2751,Fairmount Av,2021-01-01T17:50:00Z,9,41.11222222222222,24.273888888888887,65.38611111111112,6.7560888888888915,24.27082048869474,2.3337913598072797,23.62632735130687,2.3337913598072797,22.3408,26.7028,28.0604,35.0836,88.8124,91.20920000000001,0.39493232507753084,91.2092s (~1.52 minutes)
Fairmount to Spring Garden,direction-0,2,14910,Wallace St,2021-01-01T15:00:00Z,6,12.0305,21.011499999999998,33.042,15.2145,5.566202825984695,1.699490364785867,4.50046842006474,1.699490364785867,19.8185,23.067999999999998,23.4905,28.438,37.30200000000001,37.45400000000001,0.13352702620906742,37.454s
Fairmount to Spring Garden,direction-0,2,14910,Wallace St,2021-01-01T15:10:00Z,12,11.999,21.268083333333333,33.26708333333333,15.471083333333333,6.8987643162315,1.0946181948169154,6.957728593028217,1.0946181948169154,20.738300000000002,22.7295,22.94735,28.081199999999995,36.915200000000006,44.38899999999999,0.3343219649052489,44.389s
Fairmount to Spring Garden,direction-0,2,14910,Wallace St,2021-01-01T15:20:00Z,9,13.087,17.646444444444445,30.733444444444444,11.849444444444446,7.153339761957347,2.5154436045711264,7.1426190769057385,2.5154436045711255,15.862,19.8126,21.5058,23.6274,40.904199999999996,41.17059999999999,0.3396025321672732,41.1706s
Fairmount to Spring Garden,direction-0,2,14910,Wallace St,2021-01-01T15:30:00Z,11,11.015636363636363,20.429545454545455,31.44518181818182,14.632545454545454,6.586796494089175,2.300735550368028,6.899995953885505,2.300735550368028,19.145,21.763,24.153,25.701,39.516999999999996,42.983,0.36691847573121467,42.983s
Fairmount to Spring Garden,direction-0,2,14910,Wallace St,2021-01-01T15:40:00Z,10,9.3771,19.2162,28.5933,13.419199999999998,4.619207037528796,1.0335640387620995,4.259614146583912,1.0335640387620995,18.726,21.148999999999997,21.180500000000002,25.5643,35.6393,36.500150000000005,0.27652806776412675,36.50015s
Fairmount to Spring Garden,direction-0,2,14910,Wallace St,2021-01-01T15:50:00Z,10,12.0105,18.563299999999998,30.5738,12.7663,5.248570117448921,1.319674879994648,5.468320071100447,1.319674879994648,18.1437,20.063,20.351,24.478299999999997,36.46549999999999,38.30824999999999,0.2529764046340327,38.30825s
Fairmount to Spring Garden,direction-0,2,14910,Wallace St,2021-01-01T16:00:00Z,12,12.414,21.906416666666665,34.32041666666667,16.109416666666668,6.30590475088807,1.614462897365467,6.893491112614635,1.614462897365467,20.2228,23.890700000000002,24.222500000000004,28.3074,42.516099999999994,43.949799999999996,0.2805730311160751,43.9498s
Fairmount to Spring Garden,direction-0,2,14910,Wallace St,2021-01-01T16:10:00Z,11,11.600090909090909,17.189727272727275,28.789818181818184,11.392727272727273,4.898467320592135,1.5718657125154858,5.6600046080932085,1.5718657125154858,16.495,19.677,20.316,24.261000000000003,35.021,38.081,0.3227245743444652,38.081s
Fairmount to Spring Garden,direction-0,2,14910,Wallace St,2021-01-01T16:20:00Z,13,8.910461538461538,23.35776923076923,32.26823076923077,17.56076923076923,3.974413785188633,1.7887976946283484,4.65207923323622,1.7887976946283484,21.712799999999998,25.747200000000003,25.9192,27.416799999999995,37.1522,39.81259999999999,0.23380176262911573,39.8126s
