subcorridor,direction,stopOrderCor,stopId,stopName,depTime,tripCount,m_dwellTime,m_travelTime,m_runTime,sd_dwellTime,sd_travelTime,sd_runTime,p10_travelTime,p90_travelTime,p95_travelTime
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T15:00:00Z,28,33.606071428571425,30.632535714285716,64.23860714285715,15.61891652696148,3.811546108788137,16.24356769637181,26.034100000000002,35.7356,38.7172
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T15:10:00Z,31,34.84177419354839,32.19761290322581,67.03938709677419,16.693730784758046,6.116390513352459,18.876091582877038,27.243,41.799,42.6395
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T15:20:00Z,24,27.65375,37.29216666666667,64.94591666666666,15.475493814555573,10.545931136520467,21.71428326544268,30.013399999999997,53.40199999999999,59.74075
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T15:30:00Z,32,38.33259375,34.10403125,72.436625,36.466536482413375,6.201637075671775,37.24607022851863,28.531799999999997,42.408500000000004,43.90385
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T15:40:00Z,40,45.975675,41.85005,87.825725,40.83418492490588,23.827551025963032,49.63914307458224,28.2853,64.56060000000001,76.56989999999988
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T15:50:00Z,11,24.114272727272727,33.87227272727273,57.98654545454546,15.555139324936366,9.597851489691942,21.853045258561274,28.867,40.217,50.605000000000004
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T16:00:00Z,57,37.22254385964912,46.46849122807018,83.6910350877193,29.429923711171313,36.960411740673294,47.026645751927894,28.169799999999995,77.74759999999995,128.27279999999996
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T16:10:00Z,7,61.74142857142857,48.82228571428571,110.56371428571428,40.8179520916028,40.05080320756911,62.82816858626998,25.641800000000003,96.9762,113.59109999999995
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T16:20:00Z,42,44.59802380952381,46.430119047619044,91.02814285714285,27.0082204753168,30.84580290001312,46.0906741657384,31.4722,52.65369999999999,110.1587999999999
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T16:30:00Z,20,33.0657,55.06495,88.13065,18.073233223981287,44.75062124999525,53.50355681169834,31.799699999999998,90.79130000000005,128.58175000000008
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T16:40:00Z,32,42.81525,49.83625,92.6515,22.150441539325953,47.55495860987681,53.186201800843044,28.7392,87.22310000000004,100.59564999999998
23rd to Broad,direction-0,1,6067,23rd St,2021-01-01T16:50:00Z,12,34.578833333333336,41.24575,75.82458333333334,21.012372648830816,8.764702060226888,22.37597785149525,31.9404,53.5739,55.51465
