stop_id,stop_name,agency_id,stop_lat,stop_lon,daily_ons,daily_offs,average_load
SEPTA23272,Hunting Park Av & Blabon St,SEPTA,40.011777,-75.162952,0,6,12.085714285714285
SEPTA23273,Hunting Park Av & Schuyler St,SEPTA,40.011226,-75.164136,7,98,11.342857142857143
SEPTA23274,Bustleton Av & Hoffnagle St,SEPTA,40.065025,-75.051574,22,2,13.469565217391304
SEPTA23275,Bustleton Av & Solly Av,SEPTA,40.06324,-75.051737,19,11,13.582608695652175
SEPTA23276,Roosevelt Blvd & Allengrove St - FS,SEPTA,40.027612,-75.0931,0,2,18.847619047619048
SEPTA23277,Bustleton Av & Stanwood St,SEPTA,40.061465,-75.051924,14,2,13.695652173913043
SEPTA23278,Bustleton Av & Rhawn St,SEPTA,40.059644,-75.052099,62,55,13.721739130434782
SEPTA23279,Bustleton Av & Loney St,SEPTA,40.058174,-75.052758,24,9,13.91304347826087
SEPTA23280,Bustleton Av & Borbeck Av,SEPTA,40.056614,-75.053404,32,3,14.130434782608695
SEPTA23281,Bustleton Av & Glendale Av - FS,SEPTA,40.054813,-75.054123,74,8,14.626086956521739
SEPTA23282,Bustleton Av & Napfle St,SEPTA,40.053575,-75.054981,26,9,14.765217391304347
SEPTA23283,Bustleton Av & Faunce St,SEPTA,40.052311,-75.056052,11,4,14.834782608695653
SEPTA23284,Bustleton Av & Shelmire Av,SEPTA,40.05102,-75.057159,28,20,14.91304347826087
SEPTA23285,Bustleton Av & Bleigh Av,SEPTA,40.049907,-75.058122,30,35,14.869565217391305
SEPTA23286,Bustleton Av & Saint Vincent St,SEPTA,40.04547,-75.060735,80,13,15.608695652173912
SEPTA23287,Roosevelt Blvd & Fillmore Ter,SEPTA,40.026884,-75.094451,0,0,18.81904761904762
SEPTA23288,Bustleton Av & Princeton Av,SEPTA,40.044206,-75.061936,61,4,16.08695652173913
SEPTA23289,Bustleton Av & Tyson Av,SEPTA,40.042978,-75.06316,42,23,16.321739130434782
SEPTA23290,Roosevelt Blvd & Summerdale Av,SEPTA,40.026756,-75.096626,1,3,18.78095238095238
SEPTA23291,Bustleton Av & Longshore Av,SEPTA,40.041767,-75.064348,85,47,16.52173913043478
SEPTA23292,Roosevelt Blvd & Langdon St,SEPTA,40.027823,-75.098525,127,121,14.373949579831933
SEPTA23293,Bustleton Av & Hellerman St,SEPTA,40.036917,-75.069303,14,29,16.591304347826085
SEPTA23295,Bustleton Av & Levick St,SEPTA,40.035707,-75.070539,141,59,17.304347826086957
SEPTA23297,Bustleton Av & Robbins Av - FS,SEPTA,40.033979,-75.071647,79.5132271919141,54.39880270625409,16.98355596455231
SEPTA23298,Roosevelt Blvd & Garland St,SEPTA,40.029414,-75.106426,140,91,16.277027027027028
SEPTA23300,Roosevelt Blvd & Bingham St,SEPTA,40.027302,-75.114533,12,50,16.135135135135137
SEPTA23301,Roosevelt Blvd & F St,SEPTA,40.028316,-75.109907,80,74,16.304054054054053
SEPTA23302,Roosevelt Blvd & B St,SEPTA,40.02659,-75.119312,0,1,19.114285714285714
SEPTA23303,Roosevelt Blvd & 4th St,SEPTA,40.024734,-75.130491,22,44,19.038095238095238
SEPTA23304,Roosevelt Blvd & 10th St,SEPTA,40.020953,-75.1413,2,0,18.561904761904763
SEPTA23305,Roosevelt Blvd & Old York Rd - FS,SEPTA,40.018901,-75.147501,0,13,18.39047619047619
SEPTA23306,Roosevelt Blvd & Old York Rd,SEPTA,40.018811,-75.147336,63,11,17.54954954954955
SEPTA23307,Roosevelt Blvd & Courtland St,SEPTA,40.021691,-75.138329,5,1,17.783783783783782
SEPTA23308,Roosevelt Blvd & Wyoming Av,SEPTA,40.022899,-75.135664,14,20,17.633093525179856
SEPTA23309,Roosevelt Blvd & 3rd St,SEPTA,40.024109,-75.130423,46,55,18.36036036036036
SEPTA23310,Roosevelt Blvd & 2nd St - FS,SEPTA,40.024665,-75.127536,3,40,18.117117117117118
SEPTA23311,Roosevelt Blvd & Front St,SEPTA,40.025271,-75.123692,37,62,17.928057553956833
SEPTA23312,Roosevelt Blvd & B St,SEPTA,40.025868,-75.119552,0,3,17.90990990990991
SEPTA23313,Roosevelt Blvd & Rorer St,SEPTA,40.026579,-75.114525,25,32,15.11038961038961
SEPTA23314,Roosevelt Blvd & F St,SEPTA,40.027513,-75.110064,75,85,15.084415584415584
SEPTA23316,Roosevelt Blvd & Whitaker Av,SEPTA,40.028779,-75.106074,98,175,14.590909090909092
SEPTA23319,Roosevelt Blvd & Langdon St,SEPTA,40.027378,-75.099224,484,568,14.054711246200608
SEPTA23320,Roosevelt Blvd & Summerdale Av - FS,SEPTA,40.026006,-75.096559,1,1,13.980099502487562
SEPTA23321,Roosevelt Blvd & Foulkrod St,SEPTA,40.025993,-75.095058,10,8,13.940298507462687
SEPTA23322,Roosevelt Blvd & Allengrove St,SEPTA,40.026835,-75.09295,0,0,16.765765765765767
SEPTA23324,Southampton Rd & Theresa Dr,SEPTA,40.123278,-75.000248,0,0,4.791666666666667
SEPTA23330,Haldeman Av & Bustleton Av - MBNS,SEPTA,40.094518,-75.02973,3,0,8.902439024390244
SEPTA23331,Haldeman Av & Red Lion Rd - MBFS,SEPTA,40.097103,-75.02019,0,0,7.585365853658536
SEPTA23332,Haldeman Av & Montour St,SEPTA,40.096877,-75.022214,6,0,7.7317073170731705
SEPTA23333,Haldeman Av & Conwell Av,SEPTA,40.09595,-75.02519,32,5,8.21951219512195
SEPTA23334,Haldeman Av & Clark St,SEPTA,40.095154,-75.027691,27,4,8.853658536585366
SEPTA23335,Holme Av & Fairfield St,SEPTA,40.058216,-75.043249,32,36,19.658333333333335
SEPTA23336,Holme Av & Revere St,SEPTA,40.057693,-75.041549,7,10,19.541666666666668
SEPTA23337,Holme Av & Revere St - MBFS,SEPTA,40.05838,-75.038517,0,1,19.508333333333333
SEPTA23338,Holme Av & Winchester Av,SEPTA,40.0571,-75.034562,0,18,19.325
SEPTA23339,Holme Av & Stamford St,SEPTA,40.056517,-75.031202,3,12,19.183333333333334
SEPTA23340,Holme Av & Holme Cir,SEPTA,40.056379,-75.029387,3,101,18.441666666666666
SEPTA23341,Ashton Rd & Holme Cir - FS,SEPTA,40.056973,-75.028106,48,21,18.657894736842106
SEPTA23342,Ashton Rd & Jenny Pl,SEPTA,40.058165,-75.026928,2,0,18.719298245614034
