stop_id,agency_id,route_id
11103,SEPTA,6
11104,SEPTA,6
11105,SEPTA,6
11108,SEPTA,6
1111,SEPTA,88
1111,SEPTA,88S
11111,SEPTA,6
11112,SEPTA,6
11113,SEPTA,6
11115,SEPTA,6
11117,SEPTA,6
11119,SEPTA,6
1112,SEPTA,20
1112,SEPTA,88
1112,SEPTA,88S
11120,SEPTA,6
11121,SEPTA,6
11122,SEPTA,6
11127,SEPTA,6
11128,SEPTA,6
1113,SEPTA,88
1113,SEPTA,88S
11132,SEPTA,6
11133,SEPTA,6
11134,SEPTA,6
11135,SEPTA,6
11137,SEPTA,6
11138,SEPTA,6
1114,SEPTA,88
1114,SEPTA,WR3
1115,SEPTA,88
1115,SEPTA,88S
1116,SEPTA,88
1116,SEPTA,88S
1117,SEPTA,24
1117,SEPTA,88
1117,SEPTA,88S
1120,SEPTA,88
1120,SEPTA,88S
1121,SEPTA,88
1121,SEPTA,88S
1121,SEPTA,WR1
1121,SEPTA,WR4
11217,SEPTA,55
11217,SEPTA,6
1122,SEPTA,88
1122,SEPTA,88S
1122,SEPTA,WR1
1123,SEPTA,20
1123,SEPTA,88
1125,SEPTA,88
1125,SEPTA,88S
1127,SEPTA,88
1127,SEPTA,88S
1128,SEPTA,26
1128,SEPTA,88
1128,SEPTA,88S
1129,SEPTA,14
1129,SEPTA,20
1129,SEPTA,58
113,SEPTA,8
113,SEPTA,J
1131,SEPTA,89
1133,SEPTA,43
1133,SEPTA,89
11334,SEPTA,55
11334,SEPTA,77
1135,SEPTA,89
1137,SEPTA,66
1138,SEPTA,66
1139,SEPTA,108
114,SEPTA,8
1140,SEPTA,108
1140,SEPTA,WCS
1141,SEPTA,108
1141,SEPTA,WPA
1142,SEPTA,108
11422,SEPTA,2
11422,SEPTA,7
11422,SEPTA,703
1143,SEPTA,108
1144,SEPTA,108
1144,SEPTA,68
1145,SEPTA,66
1146,SEPTA,108
1146,SEPTA,113
1146,SEPTA,68
11468,SEPTA,57
11468,SEPTA,7
11468,SEPTA,703
1148,SEPTA,104
1148,SEPTA,107
1148,SEPTA,108
1148,SEPTA,109
1148,SEPTA,110
1148,SEPTA,111
1148,SEPTA,113
1148,SEPTA,21
1148,SEPTA,30
1148,SEPTA,65
1148,SEPTA,68
1148,SEPTA,711
1149,SEPTA,108
1149,SEPTA,68
1150,SEPTA,108
1150,SEPTA,68
11506,SEPTA,1
11506,SEPTA,44
1151,SEPTA,108
1151,SEPTA,68
1152,SEPTA,108
11526,SEPTA,59
11528,SEPTA,59
1153,SEPTA,108
1154,SEPTA,108
1154,SEPTA,WCS
11552,SEPTA,59
1156,SEPTA,108
1156,SEPTA,WPS
1157,SEPTA,108
1158,SEPTA,66
1159,SEPTA,26
1159,SEPTA,66
1160,SEPTA,108
1160,SEPTA,115
1160,SEPTA,37
11623,SEPTA,22
11623,SEPTA,55
11623,SEPTA,6
11623,SEPTA,710
11624,SEPTA,22
11624,SEPTA,55
11624,SEPTA,6
11624,SEPTA,710
1167,SEPTA,44
1169,SEPTA,1
1169,SEPTA,44
1169,SEPTA,65
117,SEPTA,8
1175,SEPTA,23
1176,SEPTA,23
1178,SEPTA,23
1179,SEPTA,23
118,SEPTA,8
118,SEPTA,J
1180,SEPTA,23
1181,SEPTA,45
1182,SEPTA,45
1182,SEPTA,7
1182,SEPTA,703
1183,SEPTA,45
1185,SEPTA,23
1186,SEPTA,23
1188,SEPTA,23
1189,SEPTA,23
119,SEPTA,8
119,SEPTA,J
1190,SEPTA,23
11944,SEPTA,32
11944,SEPTA,48
1195,SEPTA,331
12,SEPTA,1
12,SEPTA,20
12,SEPTA,50
12058,SEPTA,2
12058,SEPTA,53
1206,SEPTA,33
1206,SEPTA,331
121,SEPTA,62
1216,SEPTA,471
12196,SEPTA,60
122,SEPTA,62
122,SEPTA,9
1220,SEPTA,61
12218,SEPTA,54
12253,SEPTA,27
12253,SEPTA,62
12261,SEPTA,27
12261,SEPTA,65
12261,SEPTA,9
12269,SEPTA,35
12269,SEPTA,9
1227,SEPTA,66
1227,SEPTA,70
1227,SEPTA,88
12270,SEPTA,2
12274,SEPTA,27
12274,SEPTA,9
12275,SEPTA,27
12275,SEPTA,35
12275,SEPTA,9
12278,SEPTA,65
12278,SEPTA,9
1229,SEPTA,19
12293,SEPTA,33
12293,SEPTA,331
12293,SEPTA,61
12296,SEPTA,65
12296,SEPTA,9
12299,SEPTA,27
123,SEPTA,27
123,SEPTA,32
123,SEPTA,35
123,SEPTA,9
12300,SEPTA,9
12302,SEPTA,32
12302,SEPTA,9
12304,SEPTA,65
12304,SEPTA,9
12305,SEPTA,65
12305,SEPTA,9
12307,SEPTA,33
12307,SEPTA,331
12307,SEPTA,61
12319,SEPTA,27
12319,SEPTA,65
12319,SEPTA,9
12320,SEPTA,33
12320,SEPTA,331
12320,SEPTA,61
12322,SEPTA,35
12322,SEPTA,9
12323,SEPTA,65
12323,SEPTA,9
12324,SEPTA,65
12324,SEPTA,9
12329,SEPTA,62
12329,SEPTA,9
12331,SEPTA,9
12335,SEPTA,65
12335,SEPTA,9
12336,SEPTA,65
12336,SEPTA,9
1234,SEPTA,70
1234,SEPTA,88S
12342,SEPTA,331
12345,SEPTA,65
12346,SEPTA,62
12346,SEPTA,9
1235,SEPTA,19
1235,SEPTA,88S
1236,SEPTA,88S
12366,SEPTA,27
12370,SEPTA,27
12372,SEPTA,27
12374,SEPTA,27
12374,SEPTA,95
12374,SEPTA,97
12391,SEPTA,27
12396,SEPTA,27
12397,SEPTA,27
12397,SEPTA,62
12397,SEPTA,9
12398,SEPTA,27
124,SEPTA,1
124,SEPTA,8
124,SEPTA,J
124,SEPTA,R
1240,SEPTA,88S
12401,SEPTA,27
12408,SEPTA,27
1241,SEPTA,88
1241,SEPTA,88S
12410,SEPTA,27
12413,SEPTA,27
12415,SEPTA,27
1242,SEPTA,70
12438,SEPTA,27
1246,SEPTA,84
1249,SEPTA,56
1249,SEPTA,60
1250,SEPTA,73
1266,SEPTA,73
12784,SEPTA,27
12964,SEPTA,125
12965,SEPTA,125
12967,SEPTA,125
12968,SEPTA,125
12970,SEPTA,125
12972,SEPTA,125
12973,SEPTA,125
12974,SEPTA,125
12976,SEPTA,125
130,SEPTA,12
130,SEPTA,21
130,SEPTA,42
130,SEPTA,9
13021,SEPTA,60
1308,SEPTA,27
131,SEPTA,21
131,SEPTA,42
131,SEPTA,9
13106,SEPTA,54
13107,SEPTA,54
13110,SEPTA,54
13111,SEPTA,54
13112,SEPTA,54
13113,SEPTA,54
13114,SEPTA,54
13115,SEPTA,54
1313,SEPTA,32
13188,SEPTA,2
132,SEPTA,1
132,SEPTA,R
1321,SEPTA,32
133,SEPTA,27
13353,SEPTA,110
13353,SEPTA,111
13357,SEPTA,110
13357,SEPTA,111
13363,SEPTA,111
13368,SEPTA,111
13374,SEPTA,111
13377,SEPTA,111
13381,SEPTA,110
13381,SEPTA,111
13383,SEPTA,111
13387,SEPTA,110
13387,SEPTA,111
13392,SEPTA,111
1340,SEPTA,802
13400,SEPTA,111
13401,SEPTA,110
13401,SEPTA,111
13404,SEPTA,110
13404,SEPTA,111
13406,SEPTA,111
13407,SEPTA,110
13407,SEPTA,111
1341,SEPTA,801
1341,SEPTA,802
13413,SEPTA,111
13414,SEPTA,110
13414,SEPTA,111
1342,SEPTA,801
1342,SEPTA,802
13424,SEPTA,110
13424,SEPTA,111
13425,SEPTA,110
13425,SEPTA,111
13428,SEPTA,110
13428,SEPTA,111
13429,SEPTA,111
1343,SEPTA,801
13430,SEPTA,110
13430,SEPTA,111
13435,SEPTA,111
13441,SEPTA,110
13441,SEPTA,111
13442,SEPTA,111
1346,SEPTA,801
1346,SEPTA,802
1347,SEPTA,801
1347,SEPTA,802
1348,SEPTA,801
1348,SEPTA,802
1349,SEPTA,802
1350,SEPTA,802
1351,SEPTA,801
13520,SEPTA,1
13520,SEPTA,150
13528,SEPTA,1
13528,SEPTA,150
13534,SEPTA,1
13534,SEPTA,128
13534,SEPTA,130
13534,SEPTA,150
136,SEPTA,16
136,SEPTA,6
136,SEPTA,801
136,SEPTA,802
137,SEPTA,R
13788,SEPTA,110
13794,SEPTA,110
13795,SEPTA,77
13798,SEPTA,77
