stop_id,agency_id,stop_name
11102,SEPTA,Ogontz Av & 67th Av
11103,SEPTA,Ogontz Av & 67th Av
11104,SEPTA,Ogontz Av & 68th Av
11105,SEPTA,Ogontz Av & 68th Av
11108,SEPTA,Ogontz Av & 71st Av
1111,SEPTA,Welsh Rd & Holme Av
11111,SEPTA,Ogontz Av & 74th Av
11112,SEPTA,Ogontz Av & 76h Av
11113,SEPTA,Ogontz Av & 76th Av
11115,SEPTA,Ogontz Av & 77th Av
11117,SEPTA,Ogontz Av & 78th Av
11119,SEPTA,Ogontz Av & 79th Av
1112,SEPTA,Holme Av & Pennypack St
11120,SEPTA,Ogontz Av & 80th Av
11121,SEPTA,Ogontz Av & Andrews Av
11122,SEPTA,Ogontz Av & Andrews Av
11127,SEPTA,Ogontz Av & Church Ln
11128,SEPTA,Ogontz Av & Godfrey Av
1113,SEPTA,Crispin St & Willits Rd
11132,SEPTA,Ogontz Av & Limekiln Pk - FS
11133,SEPTA,Ogontz Av & Medary Av
11134,SEPTA,Ogontz Av & Middletown St
11135,SEPTA,Ogontz Av & Roselyn St
11137,SEPTA,Ogontz Av & Tulpehocken St
11138,SEPTA,Ogontz Av & Washington Ln
1114,SEPTA,Banes St & Welsh Rd
1115,SEPTA,Darlington Rd & Welsh Rd
1116,SEPTA,Huntingdon Pk & Bethayres Station
1117,SEPTA,Huntingdon Pk & Holy Redeemer Hosp - FS
1120,SEPTA,Welsh Rd & Darlington Rd
1121,SEPTA,Welsh Rd & Banes St
11217,SEPTA,Old York Rd & Champlost Av
1122,SEPTA,Welsh Rd & Roosevelt Blvd
1123,SEPTA,Holme Av & Convent Av
1125,SEPTA,Welsh Rd & Holme Av
1127,SEPTA,Hawthorne St & Cottman Av - FS
1128,SEPTA,Battersby St & Devereaux Av
1129,SEPTA,Bustleton Av & Deveraux Av
113,SEPTA,Fisher Av & Rising Sun Av - FS
1131,SEPTA,G St & Hunting Park Av - FS
1133,SEPTA,Aramingo Av & Moyer St
11334,SEPTA,Old York Rd & Pavilion Dr
1135,SEPTA,G St & Hunting Park Av
1137,SEPTA,Frankford Av & Hellerman St
1138,SEPTA,Frankford Av & Levick St
1139,SEPTA,78th St & Lindbergh Blvd - FS
114,SEPTA,Tabor Rd & 5th St
1140,SEPTA,Elmwood Av & Island Av
1141,SEPTA,67th St & Elmwood Av - FS
1142,SEPTA,65th St & Elmwood Av
11422,SEPTA,Oregon Av & 19th St
1143,SEPTA,65th St & Woodland Av
1144,SEPTA,Church Ln & Chester Av - FS
1145,SEPTA,Frankford Av & Hawthorne St
1146,SEPTA,69th Street Blvd & Marshall Rd - FS
11468,SEPTA,Oregon Av & 4th St - FS
1148,SEPTA,69th St Transportation Center South Terminal
1149,SEPTA,69th St & Marshall Rd
1150,SEPTA,Church Ln & Baltimore Av
11506,SEPTA,Overbrook Av & 54th St
1151,SEPTA,Church Ln & Chester Av
1152,SEPTA,68th St & Greenway Av
11526,SEPTA,Oxford Av & Bridge St
11528,SEPTA,Oxford Av & Dyre St
1153,SEPTA,65th St & Woodland Av
1154,SEPTA,65th St & Elmwood Av
11552,SEPTA,Oxford Av & Pratt St
1156,SEPTA,Passyunk Av & Island Av
1157,SEPTA,78th St & Lindbergh Blvd
1158,SEPTA,Frankford Av & Battersby St
1159,SEPTA,Frankford Av & Comly St
1160,SEPTA,Philadelphia Airport Terminal B
11623,SEPTA,Park Av & Chew Av
11624,SEPTA,Park Av & Grange St
1167,SEPTA,23rd St & Race St - FS
1169,SEPTA,City Av & Bala Av
117,SEPTA,Tabor Rd & 5th St
1175,SEPTA,Germantown Av & Westview St
1176,SEPTA,Germantown Av & Butler St
1178,SEPTA,Germantown Av & Rising Sun Av
1179,SEPTA,Germantown Av & Lehigh Av
118,SEPTA,Fisher Av & Rising Sun Av
1180,SEPTA,12th St & Girard Av
1181,SEPTA,12th St & Washington Av
1182,SEPTA,Oregon Av & 11th St
1183,SEPTA,11th St & Washington Av
1185,SEPTA,11th St & Girard Av
1186,SEPTA,Germantown Av & Lehigh Av
1188,SEPTA,Germantown Av & Erie Av
1189,SEPTA,Germantown Av & Butler St
119,SEPTA,C St & Roosevelt Blvd
1190,SEPTA,Germantown Av & Westview St - FS
11944,SEPTA,Poplar St & 28th St
1195,SEPTA,NA
12,SEPTA,Decatur Rd & Drummond Rd - MBNS
12058,SEPTA,Pulaski Av & 17th St
1206,SEPTA,19th St & Girard Av
121,SEPTA,Wissahickon Av & Cathedral Rd - FS
1216,SEPTA,9th St & Washington Av
12196,SEPTA,Richmond St & Allegheny Av
122,SEPTA,Ridge Av & Summit Av
1220,SEPTA,8th St & Spring Garden St - MBFS
12218,SEPTA,Richmond St & Somerset St
12253,SEPTA,Ridge Av & Cathedral Rd
12261,SEPTA,Ridge Av & Osborn St - MBFS
12269,SEPTA,Ridge Av & Fountain St - FS
1227,SEPTA,Frankford Av & Gregg St Loop
12270,SEPTA,Francis St & Field St
12274,SEPTA,Ridge Av & Green Ln
12275,SEPTA,Ridge Av & Green Ln
12278,SEPTA,Ridge Av & Hermit St
1229,SEPTA,Fordham Rd & Grant Av - FS
12293,SEPTA,Ridge Av & Jefferson St
12296,SEPTA,Ridge Av & Lauriston St
12299,SEPTA,Leverington Av & Ridge Av
123,SEPTA,Ridge Av & Lyceum Av
12300,SEPTA,Ridge Av & Leverington St
12302,SEPTA,Ridge Av & Lyceum Av
12304,SEPTA,Ridge Av & Manayunk Av
12305,SEPTA,Ridge Av & Markel St
12307,SEPTA,Ridge Av & Master St
12319,SEPTA,Ridge Av & Osborn St
12320,SEPTA,Ridge Av & Oxford St
12322,SEPTA,Ridge Av & Parker Av
12323,SEPTA,Ridge Av & Pechin St - MBFS
12324,SEPTA,Ridge Av & Pechin St
12329,SEPTA,Ridge Av & Wigard - MBNS
12331,SEPTA,Ridge Av & Roxborough Av
12335,SEPTA,Ridge Av & Seville St
12336,SEPTA,Ridge Av & Seville St
1234,SEPTA,Ryan Av & Sandyford Rd
12342,SEPTA,NA
12345,SEPTA,Ridge Av & Walnut Ln - FS
12346,SEPTA,Ridge Av & Wigard Av
1235,SEPTA,Fordham Rd & Grant Av
1236,SEPTA,NA
